type|pass|low_contrast|zero_size
accordion|9|3|0
alert|12|0|0
animatedheading|9|3|0
authorbox|0|12|0
blendtext|11|1|0
breadcrumbs|0|12|0
button|8|4|0
carousel|4|8|0
chart|12|0|0
content|6|6|0
countdown|8|4|0
counter|7|5|0
countercircle|11|1|0
desclist|10|2|0
facebookpage|0|12|0
flipcard|0|12|0
form|0|12|0
gallery|12|0|0
grid|12|0|0
headline|8|4|0
hero|4|8|0
hotspot|0|12|0
iconbox|12|0|0
iconlist|10|2|0
icontabs|4|8|0
image|12|0|0
imgcompare|0|12|0
instagram|0|12|0
langswitcher|12|0|0
lightbox|12|0|0
linkinbio|4|8|0
list|9|3|0
livesearch|9|3|0
loginform|0|12|0
lottie|12|0|0
map|12|0|0
marquee|11|1|0
megamenu|0|12|0
nav|0|0|12
navmenu|4|8|0
newsletter|0|12|0
newsticker|11|1|0
osmmap|12|0|0
overlay|6|6|0
overlaygrid|2|10|0
overlayslider|1|11|0
pagetitlebar|4|8|0
pagination|0|0|12
panel|1|11|0
panelslider|5|7|0
popover|12|0|0
popup|7|5|0
portfolio|2|10|0
postgrid|0|12|0
postmeta|11|1|0
postnavigation|0|0|12
pricelist|0|12|0
pricing|0|12|0
progallery|12|0|0
progress|6|6|0
progresstracker|0|12|0
proslider|12|0|0
queryloop|1|11|0
quotation|0|12|0
relatedposts|4|8|0
search|12|0|0
sharebuttons|12|0|0
sitelogo|12|0|0
sitemap|10|2|0
slideshow|1|11|0
social|12|0|0
soundcloud|4|8|0
starrating|0|12|0
subnav|0|0|12
switcher|9|3|0
switcherpanel|5|7|0
table|6|6|0
tagcloud|12|0|0
team|0|12|0
testimonial|12|0|0
text-block|10|2|0
textmask|10|2|0
textpath|10|2|0
timeline|7|5|0
toc|9|3|0
togglebtn|0|12|0
twitterfeed|0|12|0
video|0|12|0
videoplaylist|5|7|0
viewer360|0|12|0
viewscounter|6|6|0
woo_addtocart|4|8|0
woo_breadcrumbs|10|2|0
woo_cart|0|0|12
woo_categories|6|6|0
woo_checkout|0|0|12
woo_checkout_multistep|0|12|0
woo_comparison|4|8|0
woo_cross_sells|0|0|12
woo_minicart|0|12|0
woo_myaccount|6|6|0
woo_notices|4|8|0
woo_order_tracking|0|12|0
woo_price|4|8|0
woo_product_bundle|4|8|0
woo_product_description|4|8|0
woo_product_filter|0|12|0
woo_product_gallery_slider|4|8|0
woo_product_image|4|8|0
woo_product_meta|4|8|0
woo_product_navigation|4|8|0
woo_product_stock|4|8|0
woo_product_tabs|4|8|0
woo_product_title|4|8|0
woo_products|0|12|0
woo_quickview|0|0|12
woo_rating|4|8|0
woo_recently_viewed|0|0|12
woo_related|4|8|0
woo_sale_badge|4|8|0
woo_upsells|4|8|0
woo_wishlist|0|12|0
wpcomments|0|0|12
